Study_ID,Ref_Key,Authors,Title,Year,QA_Technical_Rigor,QA_AGI_Relevance,QA_Innovation_Significance,QA_CPST_Relevance,QA_Societal_Impact,QA_Overall_Mean,Bibliographic_Notes
S001,ref1,"H. Ning, H. Liu, J. Ma, L. T. Yang, and R. Huang",Cybermatics: Cyber–physical–social–thinking hyperspace based science and technology,2016,2.3,2.8,1.7,2.3,1.7,2.2,Journal article. DOI verified.
S002,ref2,H. Ning and H. Liu,Cyber-physical-social-thinking space based science and technology framework for the internet of things,2015,2.1,2.1,2.4,1.4,1.0,1.8,Journal article. DOI verified.
S003,ref3,"H. Ning, Y. Lin, W. Wang, H. Wang, F. Shi, X. Zhang, and M. Daneshmand",Cyberology: Cyber-Physical-Social-Thinking spaces based discipline and inter-discipline hierarchy for metaverse (general cyberspace),2023,3.0,2.7,2.6,2.6,1.4,2.5,Journal article. DOI verified.
S004,ref4,H. Ning,Cyberism: The theory for relationships between human and cyberspace,2025,2.5,2.2,2.3,1.7,2.9,2.3,Journal article. DOI approximate (Chinese Journal of Engineering).
S005,ref5,"H. Ning, X. Ye, M. A. Bouras, D. Wei, and M. Daneshmand",General cyberspace: Cyberspace and cyber-enabled spaces,2018,2.5,2.8,2.1,1.0,2.0,2.1,Journal article. DOI approximate.
S006,ref6,"T. Ndayipfukamiye, J. Ding, and H. Ning","Toward integrated AGI ecosystems: A review, framework, and research agenda for cyber-physical-social-thinking intelligence",2025,2.5,2.6,2.2,3.0,1.7,2.4,TechRxiv preprint. DOI: 10.36227/techrxiv.176541766.62207554
S007,ref7,"H. Murshed, D. S. Sarwatt, J. Ding, H. Ning, and F. Shi",Beyond pixels: A cyber-physical-social-thinking space based text-to-image generation review,2026,2.5,1.7,3.0,2.6,2.2,2.4,TechRxiv preprint. No DOI assigned.
S008,ref8,"Q. Wei, H. Ning, F. Shi, T. Zhu, J. Ding, A. Derhab, and M. Daneshmand",AGI-enabled solutions for service explosion in IoX: A cyber-physical-social-thinking perspective,2025,2.3,3.0,2.2,2.3,2.4,2.4,TechRxiv preprint. No DOI assigned.
S009,ref9,"M. J. Page, J. E. McKenzie, P. M. Bossuyt, I. Boutron, T. C. Hoffmann, C. D. Mulrow, L. Shamseer, J. M. Tetzlaff, and D. Moher",Updating guidance for reporting systematic reviews: development of the PRISMA 2020 statement,2021,2.8,3.0,3.0,2.1,2.8,2.7,Journal article. DOI verified.
S010,ref10,"X. Wang, J. Yang, Y. Liu, Y. Wang, F.-Y. Wang, M. Kang, Y. Tian, I. Rudas, L. Li, M. P. Fanti, B. Alrifaee, M. Deveci, D. Mishra, M. K. Khan, L. Chen, and P. D. Reffye",Parallel intelligence in three decades: a historical review and future perspective on ACP and cyber-physical-social systems,2024,2.1,2.2,2.8,3.0,3.0,2.6,Journal article. DOI verified.
S011,ref11,"M. Qu, Q. Li, and Z. Fang","Cyber-physical-social system: Integration, mapping, and interoperability of meta-models, architectures and methodologies",2024,2.0,2.3,2.7,3.0,1.9,2.4,Conference paper. DOI approximate.
